,ebird code,Scientific Name,Common Name
461,rebhor1,Tockus erythrorhynchus,Red-billed Hornbill
462,eybhor1,Tockus flavirostris,Eastern Yellow-billed Hornbill
463,vddhor1,Tockus deckeni,Von der Decken's Hornbill
464,jachor1,Tockus jacksoni,Jackson's Hornbill
465,truhor1,Bycanistes bucanitor,Trumpeter Hornbill
466,bawhor2,Bycanistes subcylindricus,Black-and-white Casqued Hornbill
467,sichor1,Bycanistes brevis,Silvery-cheeked Hornbill
468,noghor1,Bucorvus abyssinicus,Abyssinian Ground Hornbill
469,gytbar1,Gymnobucco bonapartei,Grey-throated Barbet
470,whebar1,Stactolaema leucotis,White-eared Barbet
471,grebar2,Stactolaema olivacea,Green Barbet
472,spetin1,Pogoniulus scolopaceus,Speckled Tinkerbird
473,gretin2,Pogoniulus simplex,Green Tinkerbird
474,moutin1,Pogoniulus leucomystax,Moustached Tinkerbird
475,yertin1,Pogoniulus bilineatus,Yellow-rumped Tinkerbird
476,reftin1,Pogoniulus pusillus,Red-fronted Tinkerbird
477,yeftin1,Pogoniulus chrysoconus,Yellow-fronted Tinkerbird
478,yesbar1,Buccanodon duchaillui,Yellow-spotted Barbet
479,habbar1,Tricholaema hirsuta,Hairy-breasted Barbet
480,refbar2,Tricholaema diademata,Red-fronted Barbet
481,spfbar1,Tricholaema lacrymosa,Spot-flanked Barbet
482,bltbar1,Tricholaema melanocephala,Black-throated Barbet
483,whhbar1,Lybius leucocephalus,White-headed Barbet
484,blbbar3,Lybius guifsobalito,Black-billed Barbet
485,blcbar1,Lybius torquatus,Black-collared Barbet
486,brbbar1,Lybius melanopterus,Brown-breasted Barbet
487,dotbar1,Lybius bidentatus,Double-toothed Barbet
488,yebbar1,Trachylaemus purpuratus,Yellow-billed Barbet
489,raybar1,Trachyphonus erythrocephalus,Red-and-yellow Barbet
490,darbar1,Trachyphonus darnaudii,D'Arnaud's Barbet
491,cashon1,Prodotiscus insignis,Cassin's Honeybird
492,grbhon2,Prodotiscus zambesiae,Green-backed Honeybird
493,wahhon1,Prodotiscus regulus,Wahlberg's Honeybird
494,palhon1,Indicator meliphilus,Pallid Honeyguide
495,leahon2,Indicator exilis,Least Honeyguide
496,y00400,Indicator minor,Lesser Honeyguide
497,scthon1,Indicator variegatus,Scaly-throated Honeyguide
498,grehon2,Indicator indicator,Greater Honeyguide
499,eurwry,Jynx torquilla,Eurasian Wryneck
500,runwry1,Jynx ruficollis,Red-throated Wryneck
501,nubwoo1,Campethera nubica,Nubian Woodpecker
